num_impute,cate_impute,scale,pca,encode,r2
mean,none,log1p_robust,pca_0.95_full,onehot,0.8271692570107149
mean,none,log1p_robust,pca_0.95_full,ordinal,0.8174901349306234
mean,none,log1p_robust,pca_0.99_auto,onehot,0.8271692570107161
mean,none,log1p_robust,pca_0.99_auto,ordinal,0.8174901349306247
mean,none,log1p_robust,pca_0.99_full,onehot,0.8271692570107149
mean,none,log1p_robust,pca_0.99_full,ordinal,0.8174901349306234
mean,most,none,none,onehot,-266.4558825846091
mean,most,none,none,ordinal,-337.3871026285053
mean,most,none,pca_0.95_auto,onehot,-0.029455145970163743
mean,most,none,pca_0.95_auto,ordinal,-0.07176679241680994
mean,most,none,pca_0.95_full,onehot,-0.02945514597017196
mean,most,none,pca_0.95_full,ordinal,-0.07176679241681172
mean,most,none,pca_0.99_auto,onehot,-0.029455145970163743
mean,most,none,pca_0.99_auto,ordinal,-0.07176679241680994
mean,most,none,pca_0.99_full,onehot,-0.02945514597017196
mean,most,none,pca_0.99_full,ordinal,-0.07176679241681172
mean,most,standard,none,onehot,-266.45588258466074
mean,most,standard,none,ordinal,-337.3871026286625
mean,most,standard,pca_0.95_auto,onehot,-266.45588258466114
mean,most,standard,pca_0.95_auto,ordinal,-337.38710262866493
mean,most,standard,pca_0.95_full,onehot,-266.45588258466444
mean,most,standard,pca_0.95_full,ordinal,-337.3871026286673
mean,most,standard,pca_0.99_auto,onehot,-266.45588258466114
mean,most,standard,pca_0.99_auto,ordinal,-337.38710262866493
mean,most,standard,pca_0.99_full,onehot,-266.45588258466444
mean,most,standard,pca_0.99_full,ordinal,-337.3871026286673
mean,most,minmax,none,onehot,-266.4558825846211
mean,most,minmax,none,ordinal,-337.38710262859416
mean,most,minmax,pca_0.95_auto,onehot,-274.2940718846904
mean,most,minmax,pca_0.95_auto,ordinal,-347.7675510939867
mean,most,minmax,pca_0.95_full,onehot,-266.45588258466614
mean,most,minmax,pca_0.95_full,ordinal,-337.3871026286643
mean,most,minmax,pca_0.99_auto,onehot,-266.4558825846631
mean,most,minmax,pca_0.99_auto,ordinal,-337.3871026286594
mean,most,minmax,pca_0.99_full,onehot,-266.45588258466614
mean,most,minmax,pca_0.99_full,ordinal,-337.3871026286643
mean,most,robust,none,onehot,-266.4558825846493
mean,most,robust,none,ordinal,-337.3871026286623
mean,most,robust,pca_0.95_auto,onehot,-0.028734550168896034
mean,most,robust,pca_0.95_auto,ordinal,-0.07112940171639193
mean,most,robust,pca_0.95_full,onehot,-0.028734550168896256
mean,most,robust,pca_0.95_full,ordinal,-0.07112940171639193
mean,most,robust,pca_0.99_auto,onehot,-0.028734550168896034
mean,most,robust,pca_0.99_auto,ordinal,-0.07112940171639193
